expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
主張,しゅちょう,"claim, insistence, assertion",JLPT JLPT_2 JLPT_3,PQKr-g-1[?,"ข้ออ้าง, การยืนกราน, การยืนยัน, การกล่าวอ้าง",彼は自分の主張を曲げません。,เขาไม่ยอมเปลี่ยนจุดยืนของตนเอง
出場,しゅつじょう,participation,JLPT JLPT_2 JLPT_3,u|Gl.@-_{b,"การมีส่วนร่วม, การร่วม, การปรากฏตัว, การเข้าร่วมกิจกรรม",大会に出場します。,ฉันจะเข้าร่วมการแข่งขัน
出身,しゅっしん,come from,JLPT JLPT_2 JLPT_3,E~$fFKz?VN,"มาจาก, มีถิ่นกำเนิดจาก, เกิดจาก, มีที่มาจาก",東京出身です。,ฉันมาจากโตเกียว
出版,しゅっぱん,publication,JLPT JLPT_2 JLPT_3,pHGL?y?[mQ,"สิ่งพิมพ์, งานพิมพ์, สิ่งตีพิมพ์, วารสาร",新しい本が出版されます。,หนังสือเล่มใหม่กำลังจะได้รับการตีพิมพ์
首都,しゅと,capital city,JLPT JLPT_2 JLPT_3,"pV,3~,Z87[","เมืองหลวง, นครหลวง, เมืองเอก, ราชธานี",京都は日本の首都でした。,เกียวโตเคยเป็นเมืองหลวงของญี่ปุ่น
主婦,しゅふ,housewife,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki,cu7/mz5_+B,"แม่บ้าน, ภรรยา, สตรีในบ้าน, แม่เรือน",妻は主婦です。,ภรรยาของฉันเป็นแม่บ้าน
主要,しゅよう,"chief, main",JLPT JLPT_2 JLPT_3,e/wz>k>*.!,"หัวหน้า, หลัก, สำคัญ, หลักๆ",主要な都市です。,เป็นเมืองหลัก
需要,じゅよう,demand,JLPT JLPT_2 JLPT_3,wIb;!:/d[S,"ความต้องการ, อุปสงค์, ความต้องการสินค้า, ความปรารถนา",需要が高いです。,ความต้องการสูง
種類,しゅるい,"variety, kind",JLPT JLPT_2 JLPT_3,yLzP_}wHk~,"หลากหลาย, ชนิด, ประเภท, แบบ",この種類は好きです。,ฉันชอบชนิดนี้
順,じゅん,"order, turn",JLPT JLPT_2 JLPT_3,j(7}!qj-R?,"ลำดับ, หมุน, อันดับ, เรียง",順番に並びましょう。,เรามาเข้าแถวตามลำดับกันเถอะ
瞬間,しゅんかん,"moment, second",JLPT JLPT_2 JLPT_3,w74BNqe`C[,"ช่วงเวลา วินาที, ชั่วขณะ, ชั่วพริบตา",一瞬でした。,มันเป็นเพียงชั่วขณะ
順調,じゅんちょう,doing well,JLPT JLPT_2 JLPT_3,QTXqs`sU2C,"ทำได้ดี, ราบรื่น, ไปได้สวย",仕事は順調です。,งานกำลังไปได้สวย
順番,じゅんばん,"turn (in line), order of things",JLPT JLPT_2 JLPT_3,"B3?=*++0m,","ลำดับ (ในแถว) ลำดับของสิ่งต่างๆ, คิว, การจัดเรียง",順番を間違えました。,ฉันผิดลำดับ
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"fv),c7#%~v","ใช้ (เหมือนกับ 使本こと (つかなこと)) การสมัครงาน การจ้าง การใช้ประโยชน์, การใช้, การจ้างงาน, การนำไปใช้",この道具を使用します。,ฉันจะใช้เครื่องมือนี้
小,しょう,small,JLPT JLPT_2 JLPT_3,He3e1#-/kV,"เล็ก, จิ๋ว, น้อย, ย่อม",小さな子供です。,เป็นเด็กเล็ก
章,しょう,"chapter, section; medal",JLPT JLPT_2 JLPT_3,Cp$qz7LRQ1,"บท, ส่วน; เหรียญรางวัล, ตอน, บทความ",第一章を読みました。,ฉันอ่านบทแรก
賞,しょう,"prize, award",JLPT JLPT_2 JLPT_3,ixda5oQQ=r,"รางวัล, เกียรติยศ, ของขวัญ, เครื่องยกย่อง",賞をもらいました。,ฉันได้รับรางวัล
上,じょう,first volume; superior quality; governmental,JLPT JLPT_2 JLPT_3,bjtdx{-WQ5,"เล่มแรก; คุณภาพเยี่ยม; ภาครัฐ, เบื้องต้น, ยอดเยี่ยม, ภาครัฐบาล",上はがきです。,นี่คือจดหมายด้านบน
障害,しょうがい,"obstacle, impediment",JLPT JLPT_2 JLPT_3,lN`%jCJ3Cv,"อุปสรรค, สิ่งกีดขวาง, เครื่องกีดขวาง, ปัญหา",この道は車いすの障害になります。,ถนนนี้เป็นอุปสรรคสำหรับรถเข็น
奨学金,しょうがくきん,scholarship,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki,Q-*B#$A6L:,"ทุนการศึกษา, ทุนเรียน, เงินทุนการศึกษา, เงินสนับสนุนเรียน",奨学金をもらいました。,ฉันได้รับทุนการศึกษา
乗客,じょうきゃく,passenger,JLPT JLPT_2 JLPT_3,F?2lxj<[^L,"ผู้โดยสาร, ผู้โดยสารรถ, ผู้โดยสารเรือ, ลูกค้า",乗客がたくさん乗っています。,มีผู้โดยสารจำนวนมากอยู่บนรถ
上京,じょうきょう,proceeding to the capital (Tokyo),JLPT JLPT_2 JLPT_3,EmcG8c7y3D,"มุ่งหน้าสู่เมืองหลวง (โตเกียว), เดินทางเข้าเมืองหลวง, ไปโตเกียว, มุ่งสู่เมืองหลวง",彼は来月、上京します。,เขาจะเดินทางเข้าโตเกียวในเดือนหน้า
状況,じょうきょう,"state of affairs, situation",JLPT JLPT_2 JLPT_3,eJ+`w-qU@C,"สถานการณ์, สภาพการณ์, สภาวะ, เหตุการณ์",今の状況は難しいです。,สถานการณ์ตอนนี้ยากลำบาก
条件,じょうけん,"conditions, terms",JLPT JLPT_2 JLPT_3,PesF@2hHde,"เงื่อนไข ข้อกำหนด, ข้อแม้, ข้อกำหนด, กฎเกณฑ์",この仕事の条件は高いです。,เงื่อนไขของงานนี้สูง
正午,しょうご,"noon, mid-day",JLPT JLPT_2 JLPT_3,i0$lSUJ-1J,"เที่ยงวัน, เที่ยง, ตอนเที่ยง, กลางวัน",正午に昼ごはんを食べます。,ฉันจะทานอาหารกลางวันตอนเที่ยงวัน
正直,しょうじき,"honesty, integrity, frankness",JLPT JLPT_2 JLPT_3,l~d^29Cn=%,"ความซื่อสัตย์สุจริต ความเที่ยงธรรม ความตรงไปตรงมา, ความจริงใจ, ตรงไปตรงมา, ซื่อสัตย์",正直に話してください。,กรุณาพูดความจริง
常識,じょうしき,common sense,JLPT JLPT_2 JLPT_3,b?[*`UKS8R,"สามัญสำนึก, ความรู้ทั่วไป, สติปัญญา, ความเข้าใจ",それは常識でしょう。,นั่นเป็นสามัญสำนึกใช่ไหม
少女,しょうじょ,young girl,JLPT JLPT_2 JLPT_3,lN;?Tr6q{x,"เด็กสาว, หญิงสาว, เด็กหญิง, วัยรุ่นหญิง",少女が公園で遊んでいます。,เด็กสาวคนหนึ่งกำลังเล่นอยู่ในสวนสาธารณะ
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki,Ievwu]EUfz,"เล็กน้อย; สั้น (เวลา) (ทางการสำหรับ 少し (WSこし)), เล็กน้อยมาก, ไม่มาก",少々お待ちください。,กรุณารอสักครู่
症状,しょうじょう,"symptoms, condition",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,v+Eb}=L(fE,"อาการ, ภาวะ, อาการป่วย, ลักษณะอาการ",風邪の症状があります。,มีอาการเป็นหวัด
生じる,しょうじる,"to occur, to arise, to be generated",JLPT JLPT_2 JLPT_3,"F/qG4,c8v/","เกิดขึ้น, ปรากฏขึ้น, ถูกสร้างขึ้น",問題が生じました。,เกิดปัญหาขึ้น
状態,じょうたい,"condition, situation",JLPT JLPT_2 JLPT_3,u!E?FPG-@p,"สภาพ, สถานการณ์, สภาพการณ์, สภาพการณ์ปัจจุบัน",今の状態はどうですか。,สภาพปัจจุบันเป็นอย่างไรบ้าง
上達,じょうたつ,"improvement, advance",JLPT JLPT_2 JLPT_3,Cc{1AI[wlm,"การปรับปรุง ความก้าวหน้า, การพัฒนา, การก้าวหน้า, ความก้าวหน้า",日本語が上達しましたね。,ภาษาญี่ปุ่นของคุณพัฒนาขึ้นมากเลยนะ
冗談,じょうだん,a joke,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,CllWuV2>%{,"เรื่องตลก, เรื่องตลกขบขัน, มุกตลก, เรื่องขำ",冗談はやめてください。,กรุณาหยุดเล่นตลกได้แล้ว
上等,じょうとう,"first class, very good",JLPT JLPT_2 JLPT_3,tjn_MUpJQp,"ชั้นหนึ่ง ดีมาก, ระดับสูง, ยอดเยี่ยม, ดีเลิศ",これは上等な品物です。,นี่คือสินค้าชั้นดี
衝突,しょうとつ,"collision, conflict",JLPT JLPT_2 JLPT_3,D@=pGn%86P,"การชนกัน, ความขัดแย้ง, ปะทะ, กระทบ",車が衝突しました。,รถชนกัน
